Name,Date,Price
AEX,31jan1983,48.37
AEX,28feb1983,51.26
AEX,31mar1983,60.24
AEX,29apr1983,57.2
AEX,31may1983,57.24
AEX,30jun1983,64.01000000000001
AEX,29jul1983,66.06
AEX,31aug1983,63.79
AEX,30sep1983,66.95999999999999
AEX,31oct1983,64.14
AEX,30nov1983,69.45
AEX,30dec1983,73.22
AEX,31jan1984,85.87
AEX,29feb1984,77.17
AEX,30mar1984,77.31999999999999
AEX,30apr1984,74.95999999999999
AEX,31may1984,69.45999999999999
AEX,29jun1984,71.09
AEX,31jul1984,67.88
AEX,31aug1984,75.55
AEX,28sep1984,80.97
AEX,31oct1984,84
AEX,30nov1984,82.89
AEX,31dec1984,85.75
AEX,31jan1985,90.40000000000001
AEX,28feb1985,92.42
AEX,29mar1985,93.73
AEX,30apr1985,95.19
AEX,31may1985,94.43000000000001
AEX,28jun1985,95.29000000000001
AEX,31jul1985,99.48999999999999
AEX,30aug1985,100.14
AEX,30sep1985,98.62
AEX,31oct1985,103.25
AEX,29nov1985,112.42
AEX,31dec1985,121.5
AEX,31jan1986,119.53
AEX,28feb1986,112.4
AEX,31mar1986,122.43
AEX,30apr1986,120.12
AEX,30may1986,126.14
AEX,30jun1986,123.63
AEX,31jul1986,119.01
AEX,29aug1986,120.43
AEX,30sep1986,115.25
AEX,31oct1986,116.06
AEX,28nov1986,118.99
AEX,31dec1986,114.69
AEX,30jan1987,106.75
AEX,27feb1987,106.16
AEX,31mar1987,109.62
AEX,30apr1987,109.67
AEX,29may1987,109.15
AEX,30jun1987,117.56
AEX,31jul1987,124.14
AEX,31aug1987,123.57
AEX,30sep1987,121.3
AEX,30oct1987,87.91
AEX,30nov1987,72.27
AEX,31dec1987,77.87
AEX,29jan1988,79.94
AEX,29feb1988,87.58
AEX,31mar1988,91.48
AEX,29apr1988,94.84999999999999
AEX,31may1988,93.56
AEX,30jun1988,104.57
AEX,29jul1988,109.34
AEX,31aug1988,104.79
AEX,30sep1988,109.63
AEX,31oct1988,112.84
AEX,30nov1988,109.18
AEX,30dec1988,117.68
AEX,31jan1989,120.88
AEX,28feb1989,119.69
AEX,31mar1989,127.11
AEX,28apr1989,137.19
AEX,31may1989,134.55
AEX,30jun1989,139.38
AEX,31jul1989,143.91
AEX,31aug1989,142.39
AEX,29sep1989,142.1
AEX,31oct1989,131.69
AEX,30nov1989,133.33
AEX,29dec1989,136.59
AEX,31jan1990,127.39
AEX,28feb1990,120.47
AEX,30mar1990,131.04
AEX,30apr1990,127.53
AEX,31may1990,131.07
AEX,29jun1990,132.76
AEX,31jul1990,129.19
AEX,31aug1990,112.81
AEX,28sep1990,102.25
AEX,31oct1990,105.36
AEX,30nov1990,103.96
AEX,31dec1990,104.01
AEX,31jan1991,106.12
AEX,28feb1991,116.77
AEX,29mar1991,126.28
AEX,30apr1991,127.11
AEX,31may1991,128.01
AEX,28jun1991,124.53
AEX,31jul1991,126.84
AEX,30aug1991,126.25
AEX,30sep1991,123.31
AEX,31oct1991,124.25
AEX,29nov1991,124.6
AEX,31dec1991,125.72
AEX,31jan1992,133.76
AEX,28feb1992,138.66
AEX,31mar1992,137.63
AEX,30apr1992,142.75
AEX,29may1992,144.46
AEX,30jun1992,137.3
AEX,31jul1992,131.08
AEX,31aug1992,126.03
AEX,30sep1992,129.96
AEX,30oct1992,124.05
AEX,30nov1992,126.22
AEX,31dec1992,129.71
AEX,29jan1993,132.48
AEX,26feb1993,138.78
AEX,31mar1993,144.52
AEX,30apr1993,142.5
AEX,31may1993,139.89
AEX,30jun1993,147.12
AEX,30jul1993,153.8
AEX,31aug1993,165.94
AEX,30sep1993,158.75
AEX,29oct1993,174
AEX,30nov1993,174.01
AEX,31dec1993,187.99
AEX,31jan1994,199.08
AEX,28feb1994,190.93
AEX,31mar1994,183.26
AEX,29apr1994,187.44
AEX,31may1994,181.86
AEX,30jun1994,174.04
AEX,29jul1994,185.24
AEX,31aug1994,190.33
AEX,30sep1994,182.54
AEX,31oct1994,187.24
AEX,30nov1994,185.78
AEX,30dec1994,188.08
AEX,31jan1995,185.19
AEX,28feb1995,185.03
AEX,31mar1995,178.52
AEX,28apr1995,189.18
AEX,31may1995,195.82
AEX,30jun1995,196.4
AEX,31jul1995,207.89
AEX,31aug1995,207.95
AEX,29sep1995,211.58
AEX,31oct1995,205.82
AEX,30nov1995,216.96
AEX,29dec1995,220.24
AEX,31jan1996,228.42
AEX,29feb1996,232.89
AEX,29mar1996,241.25
AEX,30apr1996,251.67
AEX,31may1996,258.7
AEX,28jun1996,254.27
AEX,31jul1996,243.1
AEX,30aug1996,250.03
AEX,30sep1996,261.81
AEX,31oct1996,261.84
AEX,29nov1996,286.36
AEX,31dec1996,294.16
AEX,31jan1997,306.61
AEX,28feb1997,334.64
AEX,31mar1997,336.25
AEX,30apr1997,346.39
AEX,30may1997,358.93
AEX,30jun1997,390.95
AEX,31jul1997,446.22
AEX,29aug1997,394.01
AEX,30sep1997,417.48
AEX,31oct1997,390.06
AEX,28nov1997,400.11
AEX,31dec1997,414.61
AEX,30jan1998,434.1
AEX,27feb1998,485.69
AEX,31mar1998,511.15
AEX,30apr1998,511.69
AEX,29may1998,543.86
AEX,30jun1998,544.67
AEX,31jul1998,557.85
AEX,31aug1998,493.09
AEX,30sep1998,423.9
AEX,30oct1998,450.68
AEX,30nov1998,499.44
AEX,31dec1998,538.36
AEX,29jan1999,532.09
AEX,26feb1999,536.12
AEX,31mar1999,536.93
AEX,30apr1999,573.52
AEX,31may1999,554.0599999999999
AEX,30jun1999,561.1900000000001
AEX,30jul1999,552.77
AEX,31aug1999,572.42
AEX,30sep1999,547.9400000000001
AEX,29oct1999,571.8200000000001
AEX,30nov1999,602.11
AEX,31dec1999,671.41
AEX,31jan2000,612.38
AEX,29feb2000,664.28
AEX,31mar2000,662.29
AEX,28apr2000,661.38
AEX,31may2000,655.5
AEX,30jun2000,672.14
AEX,31jul2000,668.18
AEX,31aug2000,689.52
AEX,29sep2000,661.52
AEX,31oct2000,680.5599999999999
AEX,30nov2000,649.92
AEX,29dec2000,637.6
AEX,31jan2001,639.98
AEX,28feb2001,597.33
AEX,30mar2001,558.36
AEX,30apr2001,593.09
AEX,31may2001,585.15
AEX,29jun2001,573.5
AEX,31jul2001,548.72
AEX,31aug2001,523.63
AEX,28sep2001,453.87
AEX,31oct2001,460.33
AEX,30nov2001,492.67
AEX,31dec2001,506.78
AEX,31jan2002,500.92
AEX,28feb2002,494.91
AEX,29mar2002,531.21
AEX,30apr2002,511.28
AEX,31may2002,484.55
AEX,28jun2002,439.66
AEX,31jul2002,363.59
AEX,30aug2002,371.59
AEX,30sep2002,296.36
AEX,31oct2002,342.84
AEX,29nov2002,361.99
AEX,31dec2002,322.73
AEX,31jan2003,294.94
AEX,28feb2003,266.21
AEX,31mar2003,248.54
AEX,30apr2003,282.63
AEX,30may2003,280.57
AEX,30jun2003,291.55
AEX,31jul2003,317.49
AEX,29aug2003,329.41
AEX,30sep2003,306.78
AEX,31oct2003,330.22
AEX,28nov2003,332.19
AEX,31dec2003,337.65
AEX,30jan2004,353.31
AEX,27feb2004,356.59
AEX,31mar2004,338.87
AEX,30apr2004,341.41
AEX,31may2004,337.19
AEX,30jun2004,345.13
AEX,30jul2004,329.91
AEX,31aug2004,323.12
AEX,30sep2004,323.94
AEX,29oct2004,330.48
AEX,30nov2004,337.15
AEX,31dec2004,348.08
AEX,31jan2005,360.42
AEX,28feb2005,374.37
AEX,31mar2005,369.56
AEX,29apr2005,348.2
AEX,31may2005,364.68
AEX,30jun2005,383.83
AEX,29jul2005,395.77
AEX,31aug2005,389.6
AEX,30sep2005,402.99
AEX,31oct2005,394.16
AEX,30nov2005,418.79
AEX,30dec2005,436.78
AEX,31jan2006,450.5
AEX,28feb2006,458.72
AEX,31mar2006,468.69
AEX,28apr2006,469.4
AEX,31may2006,440.41
AEX,30jun2006,440.25
AEX,31jul2006,454.06
AEX,31aug2006,469.01
AEX,29sep2006,483.62
AEX,31oct2006,486.57
AEX,30nov2006,477.67
AEX,29dec2006,495.34
AEX,31jan2007,499.81
AEX,28feb2007,490.21
AEX,30mar2007,510.5
AEX,30apr2007,530.8099999999999
AEX,31may2007,540.39
AEX,29jun2007,548.21
AEX,31jul2007,533.99
AEX,31aug2007,522.73
AEX,28sep2007,540.98
AEX,31oct2007,547.85
AEX,30nov2007,507.58
AEX,31dec2007,515.77
AEX,31jan2008,441.33
AEX,29feb2008,446.53
AEX,31mar2008,442.43
AEX,30apr2008,475.56
AEX,30may2008,485.52
AEX,30jun2008,425.93
AEX,31jul2008,399.95
AEX,29aug2008,412.84
AEX,30sep2008,331.45
AEX,31oct2008,267.69
AEX,28nov2008,252.55
AEX,31dec2008,245.94
AEX,30jan2009,248.6
AEX,27feb2009,219.81
AEX,31mar2009,216.98
AEX,30apr2009,240.76
AEX,29may2009,259.45
AEX,30jun2009,254.71
AEX,31jul2009,283.17
AEX,31aug2009,296.27
AEX,30sep2009,311.35
AEX,30oct2009,302.36
AEX,30nov2009,305.9
AEX,31dec2009,335.33
AEX,29jan2010,327.9
AEX,26feb2010,317.74
AEX,31mar2010,344.22
AEX,30apr2010,345.91
AEX,31may2010,320.7
AEX,30jun2010,316.81
AEX,30jul2010,330.64
AEX,31aug2010,316.47
AEX,30sep2010,334.39
AEX,29oct2010,337.23
AEX,30nov2010,327.41
AEX,31dec2010,354.57
AEX,31jan2011,360.75
AEX,28feb2011,369.13
AEX,31mar2011,365.62
AEX,29apr2011,359.94
AEX,31may2011,349.44
AEX,30jun2011,339.65
AEX,29jul2011,329.17
AEX,31aug2011,292.93
AEX,30sep2011,280.18
AEX,31oct2011,307.5
AEX,30nov2011,299.68
AEX,30dec2011,312.47
AEX,31jan2012,318.47
AEX,29feb2012,324.25
AEX,30mar2012,323.51
AEX,30apr2012,308.3
AEX,31may2012,290.09
AEX,29jun2012,307.31
AEX,31jul2012,326.47
AEX,31aug2012,329.28
AEX,28sep2012,323.18
AEX,31oct2012,330.76
AEX,30nov2012,336.55
AEX,31dec2012,342.71
AEX,31jan2013,354.35
AEX,28feb2013,340.53
AEX,29mar2013,348.1
AEX,30apr2013,351.39
AEX,31may2013,363.38
AEX,28jun2013,344.59
AEX,31jul2013,369.81
AEX,30aug2013,362.93
AEX,30sep2013,374.92
AEX,31oct2013,391.92
AEX,29nov2013,396.55
AEX,31dec2013,401.79
AEX,31jan2014,386.85
AEX,28feb2014,398.54
AEX,31mar2014,403.21
AEX,30apr2014,400.55
AEX,30may2014,407.21
AEX,30jun2014,413.15
AEX,31jul2014,404.29
AEX,29aug2014,413.13
AEX,30sep2014,421.14
AEX,31oct2014,411.32
AEX,28nov2014,425.86
AEX,31dec2014,424.47
AEX,30jan2015,450.39
AEX,27feb2015,483.93
AEX,31mar2015,489.41
AEX,30apr2015,487.85
AEX,29may2015,493.56
AEX,30jun2015,472.58
AEX,31jul2015,495.23
AEX,31aug2015,445.03
AEX,30sep2015,421.14
AEX,30oct2015,462.12
AEX,30nov2015,469.52
AEX,31dec2015,441.82
AEX,29jan2016,431.28
AEX,29feb2016,427.27
AEX,31mar2016,440.11
AEX,29apr2016,439.68
AEX,31may2016,447.87
AEX,30jun2016,435.88
AEX,29jul2016,449.83
AEX,31aug2016,454.38
AEX,30sep2016,452.33
AEX,31oct2016,452.59
AEX,30nov2016,457.21
AEX,30dec2016,483.17
AEX,31jan2017,476.71
AEX,28feb2017,495.35
AEX,31mar2017,516.54
AEX,28apr2017,521.13
AEX,31may2017,524.0700000000001
AEX,30jun2017,507.15
AEX,31jul2017,525.4400000000001
AEX,31aug2017,516.04
AEX,29sep2017,537.0599999999999
AEX,31oct2017,553.38
AEX,30nov2017,540.11
AEX,29dec2017,544.58
AEX,31jan2018,560.52
AEX,28feb2018,535.58
AEX,30mar2018,529.52
AEX,30apr2018,555.73
AEX,31may2018,552.85
AEX,29jun2018,551.68
AEX,31jul2018,574.25
AEX,31aug2018,558.42
AEX,28sep2018,549.62
AEX,31oct2018,518.71
AEX,30nov2018,519.37
AEX,31dec2018,487.88
AEX,31jan2019,520.63
AEX,28feb2019,541.05
AEX,29mar2019,548.98
AEX,30apr2019,571.6
AEX,31may2019,540.49
AEX,28jun2019,561.76
AEX,31jul2019,572.09
AEX,30aug2019,558.35
AEX,30sep2019,580.23
AEX,31oct2019,576.63
AEX,29nov2019,597.29
AEX,31dec2019,604.58
AEX,31jan2020,589.5
AEX,28feb2020,539.38
AEX,31mar2020,483.44
AEX,30apr2020,512.92
AEX,29may2020,532.5700000000001
AEX,30jun2020,559.73
AEX,31jul2020,545.29
AEX,31aug2020,549.2
AEX,30sep2020,547.7
AEX,30oct2020,533.88
AEX,30nov2020,606.02
AEX,31dec2020,624.61
AEX,29jan2021,637.11
AEX,26feb2021,651.26
AEX,31mar2021,699.85
AEX,30apr2021,707.5599999999999
AEX,31may2021,709.36
AEX,30jun2021,729.52
AEX,30jul2021,754.3099999999999
AEX,31aug2021,787.62
AEX,30sep2021,771.9400000000001
AEX,29oct2021,810.91
AEX,30nov2021,777.39
AEX,31dec2021,797.93
AEX,31jan2022,755.2
AEX,28feb2022,729.72
AEX,31mar2022,724.2
AEX,29apr2022,710.98
AEX,31may2022,712.88
AEX,30jun2022,659.23
AEX,29jul2022,729.4400000000001
AEX,31aug2022,680.3099999999999
AEX,30sep2022,640.62
AEX,31oct2022,670.62
AEX,30nov2022,724.1
AEX,30dec2022,689.01
ALUMINUM,31jul1997,1710.5
ALUMINUM,29aug1997,1617.5
ALUMINUM,30sep1997,1646.75
ALUMINUM,31oct1997,1615
ALUMINUM,28nov1997,1582.75
ALUMINUM,31dec1997,1538.37
ALUMINUM,30jan1998,1522.38
ALUMINUM,27feb1998,1463.97
ALUMINUM,31mar1998,1428.92
ALUMINUM,30apr1998,1428.89
ALUMINUM,29may1998,1355.43
ALUMINUM,30jun1998,1307.74
ALUMINUM,31jul1998,1332.32
ALUMINUM,31aug1998,1342.5
ALUMINUM,30sep1998,1308.25
ALUMINUM,30oct1998,1302.25
ALUMINUM,30nov1998,1301.75
ALUMINUM,31dec1998,1242
ALUMINUM,29jan1999,1193.5
ALUMINUM,26feb1999,1172.75
ALUMINUM,31mar1999,1217.75
ALUMINUM,30apr1999,1350.25
ALUMINUM,31may1999,1253.75
ALUMINUM,30jun1999,1383.75
ALUMINUM,30jul1999,1386.25
ALUMINUM,31aug1999,1460.25
ALUMINUM,30sep1999,1487.25
ALUMINUM,29oct1999,1479.75
ALUMINUM,30nov1999,1530.5
ALUMINUM,31dec1999,1636.51
ALUMINUM,31jan2000,1736.5
ALUMINUM,29feb2000,1578
ALUMINUM,31mar2000,1532.5
ALUMINUM,28apr2000,1468.25
ALUMINUM,31may2000,1454.5
ALUMINUM,30jun2000,1565.75
ALUMINUM,31jul2000,1552.5
ALUMINUM,31aug2000,1573.75
ALUMINUM,29sep2000,1586
ALUMINUM,31oct2000,1482.25
ALUMINUM,30nov2000,1505.5
ALUMINUM,29dec2000,1572.5
ALUMINUM,31jan2001,1656
ALUMINUM,28feb2001,1570.25
ALUMINUM,30mar2001,1478.25
ALUMINUM,30apr2001,1561
ALUMINUM,31may2001,1498.7
ALUMINUM,29jun2001,1454.25
ALUMINUM,31jul2001,1422.75
ALUMINUM,31aug2001,1415
ALUMINUM,28sep2001,1333.75
ALUMINUM,31oct2001,1265.5
ALUMINUM,30nov2001,1458.25
ALUMINUM,31dec2001,1342.5
ALUMINUM,31jan2002,1381.75
ALUMINUM,28feb2002,1394.5
ALUMINUM,29mar2002,1389.5
ALUMINUM,30apr2002,1379
ALUMINUM,31may2002,1381
ALUMINUM,28jun2002,1372.5
